streaming_movies,number_of_referrals,total_extra_data_charges,multiple_lines,total_revenue,paperless_billing,phone_service,total_charges,internet_service,tenure_in_months,age,streaming_tv,customer_id,state,gender,online_backup,online_security,internet_type,device_protection_plan,contract,monthly_charge,unlimited_data,married,streaming_music,payment_method,total_refunds,total_long_distance_charges,churn
No,7,0,No,974.81,Yes,Yes,593.3,Yes,27,35,Yes,19877-DEL,Delhi,Male,Yes,No,Cable,No,One Year,65.6,Yes,No,No,Credit Card,0.0,381.51,0
Yes,14,10,Yes,610.28,No,Yes,542.4,Yes,13,45,No,58353-MAH,Maharashtra,Female,No,No,Cable,No,Month-to-Month,-4.0,No,Yes,Yes,Credit Card,38.33,96.21,0
No,4,0,No,415.45,Yes,Yes,280.85,Yes,35,51,No,25063-WES,West Bengal,Male,No,No,Fiber Optic,Yes,Month-to-Month,73.9,Yes,No,No,Bank Withdrawal,0.0,134.6,1
Yes,3,0,No,1599.51,Yes,Yes,1237.85,Yes,21,79,Yes,59787-KAR,Karnataka,Male,Yes,No,Fiber Optic,Yes,Month-to-Month,98.0,Yes,No,No,Bank Withdrawal,0.0,361.66,1
No,3,0,No,289.54,Yes,Yes,267.4,Yes,8,80,Yes,28544-TAM,Tamil Nadu,Female,No,No,Fiber Optic,No,Month-to-Month,83.9,Yes,No,No,Credit Card,0.0,22.14,1
Yes,9,0,No,722.38,Yes,Yes,571.45,Yes,2,24,Yes,32750-TEL,Telangana,Male,No,No,Cable,No,Month-to-Month,69.4,Yes,No,Yes,Credit Card,0.0,150.93,0
Yes,9,0,No,8611.41,Yes,Yes,7904.25,Yes,23,66,Yes,84741-MAH,Maharashtra,Female,Yes,Yes,Fiber Optic,Yes,Two Year,109.7,Yes,Yes,Yes,Bank Withdrawal,0.0,707.16,0
No,12,20,Yes,6214.28,Yes,Yes,5377.8,Yes,24,51,No,65618-GUJ,Gujarat,Male,No,Yes,Fiber Optic,No,Two Year,84.65,No,Yes,No,Credit Card,0.0,816.48,0
No,4,0,No,414.06,Yes,Yes,340.35,Yes,10,63,No,64233-GUJ,Gujarat,Female,No,Yes,DSL,No,Two Year,48.2,Yes,No,No,Bank Withdrawal,0.0,73.71,0
Yes,3,0,Yes,7807.8,Yes,Yes,5957.9,Yes,1,41,Yes,23612-UTT,Uttar Pradesh,Female,Yes,Yes,Cable,Yes,Two Year,90.45,Yes,No,Yes,Credit Card,0.0,1849.9,0
No,0,0,,2460.55,No,No,2460.55,Yes,1,48,Yes,45397-RAJ,Rajasthan,Male,No,Yes,Cable,No,Two Year,45.2,Yes,Yes,No,Credit Card,0.0,0.0,0
Yes,6,0,Yes,9609.47,Yes,Yes,8456.75,Yes,22,26,Yes,53023-UTT,Uttar Pradesh,Male,Yes,Yes,Fiber Optic,Yes,Two Year,116.8,Yes,Yes,Yes,Credit Card,0.0,1152.72,0
No,15,0,No,444.75,Yes,Yes,351.5,Yes,26,56,No,13717-UTT,Uttar Pradesh,Male,No,No,Fiber Optic,No,Month-to-Month,68.95,Yes,Yes,No,Bank Withdrawal,0.0,93.25,0
No,8,0,Yes,7423.25,Yes,Yes,7261.25,Yes,6,36,Yes,71897-MAH,Maharashtra,Female,Yes,Yes,Fiber Optic,Yes,Two Year,101.3,Yes,Yes,No,Bank Withdrawal,0.0,162.0,0
No,1,0,,2560.1,No,No,2560.1,Yes,19,38,No,15776-UTT,Uttar Pradesh,Female,Yes,Yes,DSL,Yes,Two Year,45.05,Yes,Yes,No,Bank Withdrawal,0.0,0.0,0
Yes,5,0,Yes,8784.86,Yes,Yes,6849.4,Yes,8,53,No,56731-BIH,Bihar,Female,Yes,No,Fiber Optic,Yes,Two Year,95.75,Yes,Yes,Yes,Credit Card,0.0,1935.46,0
Yes,14,0,,1993.2,No,No,1993.2,Yes,4,47,Yes,49302-GUJ,Gujarat,Female,No,Yes,DSL,Yes,One Year,61.25,Yes,No,Yes,Credit Card,0.0,0.0,0
No,13,0,Yes,79.87,Yes,Yes,72.1,Yes,19,67,No,93520-GUJ,Gujarat,Female,No,No,Fiber Optic,No,One Year,72.1,Yes,No,No,Bank Withdrawal,0.0,7.77,0
Yes,0,0,No,3271.65,No,Yes,2791.5,Yes,30,74,No,73360-AND,Andhra Pradesh,Female,No,Yes,DSL,Yes,One Year,62.7,Yes,No,No,Credit Card,0.0,480.15,1
No,15,0,,25.1,Yes,No,25.1,Yes,33,64,No,36756-MAD,Madhya Pradesh,Male,No,No,Cable,No,Month-to-Month,25.1,Yes,Yes,No,Bank Withdrawal,0.0,0.0,1
,12,0,Yes,2877.8,No,Yes,1306.3,No,12,78,,11925-MAH,Maharashtra,Female,,,,,One Year,25.2,,Yes,,Bank Withdrawal,0.0,1571.5,0
No,12,0,Yes,1781.88,No,Yes,1215.6,Yes,20,29,Yes,87346-MAD,Madhya Pradesh,Female,Yes,No,Fiber Optic,Yes,Month-to-Month,94.1,Yes,Yes,No,Bank Withdrawal,0.0,566.28,1
No,8,0,Yes,2652.88,Yes,Yes,1849.95,Yes,22,29,Yes,86818-MAH,Maharashtra,Female,No,No,Fiber Optic,No,Month-to-Month,83.75,Yes,Yes,No,Bank Withdrawal,0.0,802.93,0
,9,0,No,66.56,No,Yes,57.2,No,7,18,,57256-BIH,Bihar,Female,,,,,Month-to-Month,19.85,,No,,Credit Card,0.0,9.36,0
,12,0,No,126.07,No,Yes,76.35,No,24,31,,65431-CHH,Chhattisgarh,Female,,,,,Month-to-Month,20.35,,No,,Credit Card,0.0,49.72,1
No,12,0,,30.5,No,No,30.5,Yes,26,34,No,13829-PUN,Punjab,Female,No,Yes,DSL,No,Month-to-Month,30.5,Yes,Yes,No,Bank Withdrawal,0.0,0.0,1
Yes,14,20,No,7603.95,Yes,Yes,5656.75,Yes,18,35,Yes,19279-UTT,Uttar Pradesh,Female,Yes,No,Fiber Optic,Yes,One Year,103.7,No,No,Yes,Bank Withdrawal,0.0,1927.2,0
,0,0,No,2154.4,No,Yes,1090.6,No,23,44,,27129-TAM,Tamil Nadu,Male,,,,,Two Year,20.4,,Yes,,Credit Card,0.0,1063.8,0
